"id_subj","group","n_trial","rt","acc","identity"
"CNTRL02","CTRL",24,0.8094,1,"non-matching TU"
"CNTRL02","CTRL",25,1.1011,1,"matching SCONOSCIUTO"
"CNTRL02","CTRL",26,0.7162,1,"non-matching TU"
"CNTRL02","CTRL",27,0.9469,1,"matching TU"
"CNTRL02","CTRL",28,0.6627,1,"non-matching SCONOSCIUTO"
"CNTRL02","CTRL",29,0.8018,1,"non-matching SCONOSCIUTO"
"CNTRL02","CTRL",30,0.8471,1,"matching TU"
"CNTRL02","CTRL",31,0.6994,1,"matching TU"
"CNTRL02","CTRL",32,1.2452,1,"non-matching SCONOSCIUTO"
"CNTRL02","CTRL",33,0.5974,1,"matching TU"
"CNTRL02","CTRL",34,1.0171,1,"non-matching TU"
"CNTRL02","CTRL",35,0.8087,1,"non-matching SCONOSCIUTO"
"CNTRL02","CTRL",36,1.5045,1,"non-matching TU"
"CNTRL02","CTRL",37,0.738,1,"non-matching TU"
"CNTRL02","CTRL",38,1.078,1,"matching TU"
"CNTRL02","CTRL",39,0.8436,1,"non-matching SCONOSCIUTO"
"CNTRL02","CTRL",40,0.7288,1,"matching TU"
"CNTRL02","CTRL",41,0.9597,1,"non-matching TU"
"CNTRL02","CTRL",42,0.8592,1,"matching TU"
"CNTRL02","CTRL",43,0.7098,1,"matching TU"
"CNTRL02","CTRL",44,0.8717,1,"non-matching TU"
"CNTRL02","CTRL",45,0.7283,1,"matching TU"
"CNTRL02","CTRL",46,0.8622,1,"non-matching SCONOSCIUTO"
"CNTRL02","CTRL",47,0.6709,1,"matching TU"
"CNTRL02","CTRL",48,0.8959,1,"non-matching SCONOSCIUTO"
"CNTRL02","CTRL",49,0.7946,1,"matching TU"
"CNTRL02","CTRL",50,0.6359,1,"matching TU"
"CNTRL02","CTRL",51,0.7782,1,"non-matching SCONOSCIUTO"
"CNTRL02","CTRL",52,0.7779,1,"matching TU"
"CNTRL02","CTRL",53,0.8009,1,"matching TU"
"CNTRL02","CTRL",54,0.6937,1,"non-matching TU"
"CNTRL02","CTRL",55,0.6419,1,"matching TU"
"CNTRL02","CTRL",56,1.0585,1,"matching SCONOSCIUTO"
"CNTRL02","CTRL",57,0.813,1,"matching SCONOSCIUTO"
"CNTRL02","CTRL",58,0.8676,1,"non-matching SCONOSCIUTO"
"CNTRL02","CTRL",59,1.0603,1,"matching SCONOSCIUTO"
"CNTRL02","CTRL",60,0.9868,1,"non-matching SCONOSCIUTO"
"CNTRL02","CTRL",61,0.8455,1,"matching SCONOSCIUTO"
"CNTRL02","CTRL",62,0.699,1,"non-matching TU"
"CNTRL02","CTRL",63,0.9787,1,"matching SCONOSCIUTO"
"CNTRL02","CTRL",64,0.7374,1,"matching TU"
"CNTRL02","CTRL",65,0.6777,1,"non-matching TU"
"CNTRL02","CTRL",66,NA,0,"non-matching TU"
"CNTRL02","CTRL",67,0.6942,1,"matching TU"
"CNTRL02","CTRL",68,1.0274,1,"non-matching TU"
"CNTRL02","CTRL",69,0.8556,1,"non-matching SCONOSCIUTO"
"CNTRL02","CTRL",70,0.844,1,"matching TU"
"CNTRL02","CTRL",71,0.881,1,"matching SCONOSCIUTO"
"CNTRL02","CTRL",72,0.6511,0,"matching SCONOSCIUTO"
